Year,Month,Consumption,Consumer_number,Installation_zone
2013,3,1,QPAI08658003576169,Installation_zone 3
2013,3,5,RKNI13745194374747,Installation_zone 2
2013,3,0,EDOD07461150815386,Installation_zone 1
2013,3,3,WNRI10608342882432,Installation_zone 1
2013,3,10,GISB05062343018672,Installation_zone 3
2013,3,9,CYPV95300994106083,Installation_zone 2
2013,3,5,WWTM07097049580271,Installation_zone 2
2013,3,15,PACU95409044828785,Installation_zone 2
2013,3,0,OTJM06567794973233,Installation_zone 4
2013,3,5,DKCY25913019460431,Installation_zone 2
2013,3,13,OYCU95964607071111,Installation_zone 1
2013,4,8,KOCS31815362992210,Installation_zone 2
2013,4,0,EQKL85694875580467,Installation_zone 3
2013,4,8,JDVW57666669484928,Installation_zone 1
2013,4,7,TQSE59784502052490,Installation_zone 1
2013,4,14,CGDO45046562545022,Installation_zone 1
2013,4,8,EBVU90010372787021,Installation_zone 1
2013,4,4,GFUL02502122553375,Installation_zone 1
2013,4,25,FFAR48543703647689,Installation_zone 3
2013,4,3,RAFU09126502665608,Installation_zone 1
2013,4,8,HLOE34772420661917,Installation_zone 1
2013,4,3,DKWR40757445081145,Installation_zone 3
2013,4,0,FUMF28996023865905,Installation_zone 2
2013,4,2,KNOB43264859830449,Installation_zone 1
2013,4,3,NYCR15027250729265,Installation_zone 1
2013,4,0,JTES98822694645015,Installation_zone 4
2013,4,5,DZFQ84953412069335,Installation_zone 1
2013,4,13,TZUJ69246246430307,Installation_zone 3
2013,4,1,DCOX56894168490254,Installation_zone 1
2013,4,5,MTTO08254040481312,Installation_zone 1
2013,4,5,SSAR38458074873537,Installation_zone 1
2013,4,4,HNRD13603113885779,Installation_zone 1
2013,4,12,CDUH34623988572920,Installation_zone 1
2013,4,0,MIDT99995692797081,Installation_zone 3
2013,4,5,JEDB74748652800427,Installation_zone 4
2013,4,0,WKRP66567640304049,Installation_zone 4
2013,4,0,YTBO45517390556943,Installation_zone 3
2013,4,12,VVPT29581996676541,Installation_zone 4
2013,4,1,OUMQ62822031339542,Installation_zone 3
2013,4,0,BSAZ08013603035624,Installation_zone 3
2013,4,12,FMWB30477528904604,Installation_zone 4
2013,4,27,LYCM06827373499892,Installation_zone 4
2013,4,2,KACC90728987099547,Installation_zone 4
2013,4,8,EHCJ02706135202063,Installation_zone 3
2013,4,13,USOI01636292173412,Installation_zone 4
2013,4,6,HIJS53113355827126,Installation_zone 1
2013,4,0,COWH94393019622935,Installation_zone 3
2013,4,3,XYNW70803382753712,Installation_zone 3
2013,4,3,MEEP39447833313343,Installation_zone 2
2013,4,8,STQF83788566178063,Installation_zone 3
2013,4,6,QHKK45321815200475,Installation_zone 1
2013,4,4,ULXZ74015705818119,Installation_zone 3
2013,4,0,APIX23025239230384,Installation_zone 4
2013,4,0,QFIZ88606191712684,Installation_zone 1
2013,4,8,LRAL82633550507688,Installation_zone 4
2013,4,5,LIZZ61547489473894,Installation_zone 3
2013,4,3,OYQY07256210497300,Installation_zone 2
2013,4,7,ZKPG43880444227846,Installation_zone 2
2013,4,4,ZPVS84874927247581,Installation_zone 3
2013,4,0,KHOY77066062304321,Installation_zone 4
2013,4,0,MHGK34685058134666,Installation_zone 1
2013,4,7,PBSW73561076867824,Installation_zone 3
2013,4,11,AZQH24086160367709,Installation_zone 4
2013,4,5,FZRQ12179825466791,Installation_zone 4
2013,4,13,MUXX08286207117113,Installation_zone 4
2013,4,12,UQMH00076570081337,Installation_zone 4
2013,4,0,NQNC82525044139361,Installation_zone 3
2013,4,9,KNTA13295301205579,Installation_zone 3
2013,4,8,MGYP11861755139081,Installation_zone 4
2013,4,9,MHKI28456945098761,Installation_zone 1
2013,4,8,RRTB85583422636622,Installation_zone 3
2013,4,5,PIRW45880935433031,Installation_zone 4
2013,4,7,AZBY61891155526602,Installation_zone 1
2013,4,1,GFFG01798583116046,Installation_zone 1
2013,4,10,TXMI93311189188143,Installation_zone 4
2013,4,5,CIRK82309217383949,Installation_zone 3
2013,4,4,KQAF05774103443738,Installation_zone 1
2013,4,19,WFZV77088054772780,Installation_zone 1
2013,4,0,NLZT35421722867668,Installation_zone 3
2013,4,2,GGSK50409018679457,Installation_zone 4
2013,4,0,AQLT91571953050328,Installation_zone 4
2013,4,12,KPOA19937532089126,Installation_zone 1
2013,4,0,AGZD07213467721118,Installation_zone 3
2013,4,6,YZTN04719365764875,Installation_zone 1
2013,4,11,MFKS41426194554322,Installation_zone 1
2013,4,2,WCHP01465080695384,Installation_zone 2
2013,4,0,FCEB55736898860978,Installation_zone 1
2013,4,9,FUJF39175092986945,Installation_zone 1
2013,4,2,WNRI10608342882432,Installation_zone 1
2013,4,9,CYPV95300994106083,Installation_zone 2
2013,4,10,SVBP81700542428379,Installation_zone 4
2013,4,13,YCFT83502606152533,Installation_zone 4
2013,4,6,UBRC28553755404484,Installation_zone 3
2013,4,12,PBBL36033403303280,Installation_zone 1
2013,4,6,DJNJ39568405803546,Installation_zone 3
2013,4,18,PACU95409044828785,Installation_zone 2
2013,4,2,VYPR76663854500957,Installation_zone 1
2013,4,4,EKZL76248245621208,Installation_zone 1
2013,4,3,CKNG88737255766732,Installation_zone 1
2013,4,4,XWCO75279794098600,Installation_zone 1
2013,4,12,JCRG87290777008626,Installation_zone 1
2013,4,5,KLFR15936867327446,Installation_zone 3
2013,4,0,IGJX95251988371066,Installation_zone 2
2013,4,4,ZMWX47693515501077,Installation_zone 1
2013,4,7,VVFJ69549881788613,Installation_zone 2
2013,5,9,UJXJ03775958628081,Installation_zone 1
2013,5,18,CGDO45046562545022,Installation_zone 1
2013,5,5,FHGT18236683233786,Installation_zone 1
2013,5,0,JAGI00680308242665,Installation_zone 4
2013,5,0,FUMF28996023865905,Installation_zone 2
2013,5,10,DWLO25953900969722,Installation_zone 1
2013,5,3,KNOB43264859830449,Installation_zone 1
2013,5,6,JYBT89780750132404,Installation_zone 1
2013,5,4,DNUT84611745346865,Installation_zone 2
2013,5,19,NZQF59857433519644,Installation_zone 1
2013,5,0,INJM43003695626381,Installation_zone 1
2013,5,5,NYCR15027250729265,Installation_zone 1
2013,5,12,CEZM82527801889609,Installation_zone 1
2013,5,1,TCES88152522045417,Installation_zone 4
2013,5,3,VOII48117914432340,Installation_zone 3
2013,5,9,NVMA56908319529535,Installation_zone 1
2013,5,2,DENA59981898513652,Installation_zone 1
2013,5,9,MTTO08254040481312,Installation_zone 1
2013,5,7,BYYN99780792499601,Installation_zone 1
2013,5,5,SSAR38458074873537,Installation_zone 1
2013,5,7,GGQC71175062678571,Installation_zone 3
2013,5,5,KSBL23156232494473,Installation_zone 2
2013,5,1,MIDT99995692797081,Installation_zone 3
2013,5,6,TNMV48252619601627,Installation_zone 4
2013,5,7,SLHW75879668705171,Installation_zone 3
2013,5,6,OUMQ62822031339542,Installation_zone 3
2013,5,2,EHCJ02706135202063,Installation_zone 3
2013,5,2,NBQN43033153874355,Installation_zone 2
2013,5,15,USOI01636292173412,Installation_zone 4
2013,5,8,HIJS53113355827126,Installation_zone 1
2013,5,0,ENRN35247370059665,Installation_zone 3
2013,5,4,JVYI66208715585159,Installation_zone 3
2013,5,16,FQTP76220352089542,Installation_zone 4
2013,5,0,DWZT19944471696987,Installation_zone 1
2013,5,0,COWH94393019622935,Installation_zone 3
2013,5,0,STQF83788566178063,Installation_zone 3
2013,5,2,FOGL66608699450492,Installation_zone 3
2013,5,0,IGUG41408649074873,Installation_zone 4
2013,5,1,KCTG02392451158535,Installation_zone 4
2013,5,13,NGXL37418609394497,Installation_zone 4
2013,5,0,FQHN32673593042325,Installation_zone 4
2013,5,0,BENG66184610421490,Installation_zone 4
2013,5,1,USCV77286769892123,Installation_zone 3
2013,5,10,ZDYE89402681967902,Installation_zone 3
2013,5,0,QFIZ88606191712684,Installation_zone 1
2013,5,0,UAYP46617844930357,Installation_zone 1
2013,5,7,LRAL82633550507688,Installation_zone 4
2013,5,3,FAWW57445459869229,Installation_zone 3
2013,5,10,PEUZ84671781592437,Installation_zone 3
2013,5,0,IMBX02784904646581,Installation_zone 2
2013,5,4,OYQY07256210497300,Installation_zone 2
2013,5,7,JDFB91441873190771,Installation_zone 2
2013,5,3,RMQI95915028213378,Installation_zone 4
2013,5,8,ZKPG43880444227846,Installation_zone 2
2013,5,1,NHFT84916099108261,Installation_zone 4
2013,5,1,ZWIV32294304461444,Installation_zone 2
2013,5,1,XONB18166453573712,Installation_zone 4
2013,5,7,FEWR46402099505959,Installation_zone 2
2013,5,12,MUXX08286207117113,Installation_zone 4
2013,5,4,YCEP63387357649644,Installation_zone 1
2013,5,8,KNTA13295301205579,Installation_zone 3
2013,5,3,XYES67726049538336,Installation_zone 2
2013,5,15,GBYA69939822152443,Installation_zone 1
2013,5,4,FZRP63431054534745,Installation_zone 4
2013,5,18,FUKN92112193372842,Installation_zone 1
2013,5,1,UJSQ95697899729285,Installation_zone 1
2013,5,13,WTMD49674567154197,Installation_zone 1
2013,5,10,LYHK83880786555886,Installation_zone 1
2013,5,4,PANP21106415508656,Installation_zone 2
2013,5,9,AZBY61891155526602,Installation_zone 1
2013,5,4,KQAF05774103443738,Installation_zone 1
2013,5,20,WFZV77088054772780,Installation_zone 1
2013,5,7,ZXWX55942012223566,Installation_zone 3
2013,5,1,GGSK50409018679457,Installation_zone 4
2013,5,10,IWUI42190103436952,Installation_zone 4
2013,5,3,AQLT91571953050328,Installation_zone 4
2013,5,2,NDFS84069941627676,Installation_zone 1
2013,5,6,YZTN04719365764875,Installation_zone 1
2013,5,7,QZDH51875901969331,Installation_zone 1
2013,5,5,RCZK44567254451440,Installation_zone 1
2013,5,5,EGKE92863689085838,Installation_zone 1
2013,5,10,FUJF39175092986945,Installation_zone 1
2013,5,0,CSKC19500104342907,Installation_zone 2
2013,5,12,FIPV92748687797450,Installation_zone 1
2013,5,15,GISB05062343018672,Installation_zone 3
2013,5,3,BTCO02703388351356,Installation_zone 2
2013,5,9,CYPV95300994106083,Installation_zone 2
2013,5,16,GCYM67310927499430,Installation_zone 1
2013,5,14,UCOU65888903574985,Installation_zone 3
2013,5,15,YCFT83502606152533,Installation_zone 4
2013,5,5,RLTR39497644977803,Installation_zone 1
2013,5,5,MUYB17619317125820,Installation_zone 3
2013,5,5,EKZL76248245621208,Installation_zone 1
2013,5,5,DVSG92636816250682,Installation_zone 1
2013,6,0,WZTK81069064792502,Installation_zone 2
2013,6,10,DMQW06422804051098,Installation_zone 1
2013,6,0,TRWL67442270835282,Installation_zone 1
2013,6,9,KOVO60968890213540,Installation_zone 3
2013,6,15,WJYX39670413648529,Installation_zone 3
2013,6,6,FAGM51511678501495,Installation_zone 3
2013,6,19,ARVA35627514832759,Installation_zone 1
2013,6,5,TQSE59784502052490,Installation_zone 1
2013,6,16,CGDO45046562545022,Installation_zone 1
2013,6,5,GFUL02502122553375,Installation_zone 1
2013,6,10,FHGT18236683233786,Installation_zone 1
2013,6,5,HLOE34772420661917,Installation_zone 1
2013,6,7,CLQG78039033709239,Installation_zone 3
2013,6,5,JUGV58574305141320,Installation_zone 4
2013,6,5,DNUT84611745346865,Installation_zone 2
2013,6,7,LDWP74408638280459,Installation_zone 2
2013,6,8,HNIX48279553082095,Installation_zone 1
2013,6,11,BRMB53233961596348,Installation_zone 1
2013,6,16,NTFW74717315660097,Installation_zone 1
2013,6,3,DCOX56894168490254,Installation_zone 1
2013,6,5,MTTO08254040481312,Installation_zone 1
2013,6,6,BYYN99780792499601,Installation_zone 1
2013,6,1,OEUA01021948001923,Installation_zone 1
2013,6,0,RZON01584888357610,Installation_zone 2
2013,6,0,MIDT99995692797081,Installation_zone 3
2013,6,0,WKRP66567640304049,Installation_zone 4
2013,6,5,CUUK70735165026551,Installation_zone 2
2013,6,16,AHRA93701497494813,Installation_zone 3
2013,6,15,FMWB30477528904604,Installation_zone 4
2013,6,32,LYCM06827373499892,Installation_zone 4
2013,6,2,TGQX37728861690509,Installation_zone 1
2013,6,3,KMJN97150743354414,Installation_zone 1
2013,6,10,MGUE22291420733853,Installation_zone 2
2013,6,4,GEXI58848523233536,Installation_zone 1
2013,6,16,HTNO96068335818471,Installation_zone 2
2013,6,0,NBQN43033153874355,Installation_zone 2
2013,6,0,YQPA52153664600964,Installation_zone 3
2013,6,6,RLHM91458526100860,Installation_zone 3
2013,6,0,ENRN35247370059665,Installation_zone 3
2013,6,10,STQF83788566178063,Installation_zone 3
2013,6,0,IGUG41408649074873,Installation_zone 4
2013,6,0,BENG66184610421490,Installation_zone 4
2013,6,0,QFIZ88606191712684,Installation_zone 1
2013,6,8,BTIF48335088055772,Installation_zone 4
2013,6,9,YEGF27791701313426,Installation_zone 4
2013,6,5,LIZZ61547489473894,Installation_zone 3
2013,6,1,ZJJJ27264470071343,Installation_zone 4
2013,6,0,IMBX02784904646581,Installation_zone 2
2013,6,7,WGUY93961702007063,Installation_zone 3
2013,6,6,ZKPG43880444227846,Installation_zone 2
2013,6,0,ZWIV32294304461444,Installation_zone 2
2013,6,15,SNGS60110784798477,Installation_zone 2
2013,6,7,FEWR46402099505959,Installation_zone 2
2013,6,5,FZRQ12179825466791,Installation_zone 4
2013,6,13,MUXX08286207117113,Installation_zone 4
2013,6,8,RCCB11656325152372,Installation_zone 3
2013,6,8,MGYP11861755139081,Installation_zone 4
2013,6,4,JFUO85980686170984,Installation_zone 1
2013,6,0,ZYDM28607258499868,Installation_zone 1
2013,6,8,RRTB85583422636622,Installation_zone 3
2013,6,0,OFSQ89007894885379,Installation_zone 4
2013,6,5,PIRW45880935433031,Installation_zone 4
2013,6,7,NLZT35421722867668,Installation_zone 3
2013,6,5,NJKG79591092232566,Installation_zone 3
2013,6,10,IWUI42190103436952,Installation_zone 4
2013,6,4,UPUN42310315523780,Installation_zone 1
2013,6,15,KPOA19937532089126,Installation_zone 1
2013,6,0,NREQ80614709086421,Installation_zone 3
2013,6,4,YZTN04719365764875,Installation_zone 1
2013,6,3,MPPA13080115709916,Installation_zone 1
2013,6,2,WCHP01465080695384,Installation_zone 2
