Consumer_number,Consumer_type
FCKF02982695522409,domestic
FCXW59945155849312,domestic
FDEY78526378332650,rural domestic
FDLK36378923436792,domestic
FDUJ72749447961171,rural domestic
FEAK87950058654775,domestic
FEAY84172223334293,domestic
FEWQ92254809671362,domestic
FEWR46402099505959,domestic
FFAR48543703647689,domestic
FFNM53560719077903,rural domestic
FHEW05985278085878,rural domestic
FHGT18236683233786,domestic
FIPV92748687797450,domestic
FIQY56544515613149,domestic
FISC14039294637504,domestic
FJIR63546200064948,rural domestic
FJTV71988039007976,domestic
FJTY67751013829748,domestic
FKBX87954985163930,rural domestic
FKTG07541621806973,domestic
FMLR62371053908247,rural domestic
FMWB30477528904604,domestic
FMYK42652759226054,domestic
FMZB01986300050037,domestic
FNLH89713255217421,rural domestic
FOGL66608699450492,domestic
FOXK43085699703393,domestic
FPQL14379788360963,rural domestic
FPUT40184956219315,rural domestic
FQHN32673593042325,domestic
FQQZ96849599981537,rural domestic
FQTP76220352089542,domestic
FQUQ43338901265430,domestic
FROA44922795644007,rural domestic
FROV88046314377409,domestic
FSCV59430724236673,domestic
FSGU73914258078593,domestic
FTNY91033378749114,rural domestic
FUJF39175092986945,domestic
FUKN92112193372842,domestic
FUMF28996023865905,domestic
FUMW40126094208427,domestic
FUVK81913549523474,domestic
FVDE21246660762885,rural domestic
FVIF75138037361481,domestic
FVOD99690114705597,rural domestic
FWDK26901959051108,domestic
FWHT22630330906569,rural domestic
FWOQ99723475296992,rural domestic
FWSE66894398011524,domestic
FXWY48045416682331,domestic
FZRP63431054534745,domestic
FZRQ12179825466791,domestic
GADA51585962696666,rural domestic
GASI63535088734241,rural domestic
GBUE72898187825061,domestic
GBYA69939822152443,domestic
GCYM67310927499430,domestic
GDHT50033783131397,domestic
GDPA01079677887877,rural domestic
GDPI58998552105364,domestic
GDTS57110935717132,rural domestic
GEKT45597982251440,rural domestic
GELE15210550928112,domestic
GEPL01595910242024,domestic
GEXI58848523233536,domestic
GFAZ16657492819450,domestic
GFFE86433821727399,domestic
GFFG01798583116046,domestic
GFUL02502122553375,domestic
GGQC71175062678571,domestic
GGSK50409018679457,domestic
GGXZ42748858835131,domestic
GHHK85347548115711,domestic
GHJP77250481068737,domestic
GIJW54587422125894,domestic
GILG67758822518794,rural domestic
GIMS88746304973294,domestic
GISB05062343018672,domestic
GITZ97330090847643,domestic
GJNE61869167810597,domestic
GJOA45312134108138,domestic
GJSD72922478511859,rural domestic
GKFE53707368830491,rural domestic
GKMX74414260367606,rural domestic
GKNI46441672489630,rural domestic
GLKQ62092263018071,rural domestic
GLZA76916406296344,rural domestic
GMAH74894134130515,domestic
GMMR61868760669492,domestic
GNMG64107279381765,rural domestic
GNOC76283461211275,domestic
GNWL21283643094250,rural domestic
GPBW32332187864640,rural domestic
GPCN62880451476715,domestic
GPXM68336035023418,domestic
GQUA33032588142813,domestic
GRCM93823812683040,domestic
GRIS95148587001616,domestic
GRXC33020746550125,domestic
GSGH76091022430162,domestic
GSPU83718548777129,domestic
GTDQ45181878828779,domestic
GTPU97019533254654,domestic
GUBM52912770402798,domestic
GUCD02250013522689,domestic
GUFM90695033965887,domestic
GULO96019888918857,domestic
GULT02713243938723,rural domestic
GUOJ42653699971382,domestic
GUXL57198156989131,domestic
GVAH21693204664851,domestic
GWCE58513753519365,domestic
GWCF89004024821094,domestic
GWJH69668174157079,rural domestic
GWTT82946061978598,domestic
GXTP58260776619166,domestic
GXWK62147381049652,domestic
GXZA98143958908536,domestic
GYSS47563658817704,domestic
GYYN94531231507100,domestic
GZCQ36883265308324,rural domestic
GZJW94435128937224,domestic
HAGZ40120819768252,rural domestic
HAHW22158873683449,rural domestic
HBBB40357355829874,domestic
HBSE23207736140897,domestic
HBST63872873388066,domestic
HBVX50182250726902,domestic
HCQI97456176258567,domestic
HDDT94840634914252,domestic
HDGW89381661531386,domestic
HDZY19170400231854,domestic
HEID31147249633801,domestic
HEZB01811266263568,domestic
HFHX31615008327190,domestic
HFRO67723688918450,rural domestic
HFVE12984876766496,rural domestic
HGRS67554693069282,domestic
HGYT99040653554323,rural domestic
HHEQ96547817212001,domestic
HIJS53113355827126,domestic
HJBK26518077142554,domestic
HJRM79136465820840,rural domestic
HJXL11174083201294,rural domestic
HKAT77109558655690,domestic
HLKK30611335754098,domestic
HLOE34772420661917,domestic
HMDU22329379309039,domestic
HMHE81804035057206,domestic
HMIX78136879013761,rural domestic
HMUY07932721600095,domestic
HMWI14872235049607,rural domestic
HNFW19297327952981,rural domestic
HNHY22942593542364,rural domestic
HNIX48279553082095,domestic
HNRD13603113885779,domestic
HNSB85042228591611,domestic
HOEJ47757870171646,domestic
HOGH22561842005570,rural domestic
HOHL98594703878902,domestic
HOYK26244872709604,domestic
HQOY86916724394106,rural domestic
HRFP79759317711444,domestic
HRJX68866978557072,domestic
HSBV52663373863885,domestic
HSDI89063278786666,rural domestic
HSKH83245253221617,rural domestic
HSRR64421810080186,domestic
HSSV92876412514992,domestic
HTJC23555520049211,domestic
HTKF11609772232992,domestic
HTNO96068335818471,domestic
HTVW63433866676515,rural domestic
HTZJ41558983846513,domestic
HUZE18345591333298,domestic
HVDK62449932472100,domestic
HVTL73614800406347,domestic
HVWA39245455331295,rural domestic
HWJI97842581713274,domestic
HXDC01634524099277,rural domestic
HXKU20571961456324,rural domestic
HXOV80552734877557,domestic
HXXN62901306541709,domestic
HYDX11028054704784,domestic
HYMB76614624139640,rural domestic
HZCZ40669419519385,rural domestic
HZQE63006628458043,rural domestic
IACR95976590834150,domestic
IBDP63659431369828,domestic
ICAZ85042124828733,domestic
ICON64856217974557,domestic
IDLV25802308930770,domestic
IDZM71589737751730,domestic
IEMK72292891425324,rural domestic
IERU23508449215343,domestic
IFEO06882568526964,rural domestic
IFNG84495482596644,domestic
IFSJ01459894769890,rural domestic
IGJX95251988371066,domestic
IGPO00099611308299,rural domestic
IGPT77499423093833,domestic
IGUG41408649074873,domestic
IHTP62953810651236,domestic
IHVP87788873819833,domestic
IHVR67240154269548,rural domestic
IHZO02034234995964,domestic
IIBJ72439636881355,domestic
IIHP65319956540409,domestic
IJLH81780246354986,rural domestic
IKGC25578204289204,domestic
IKGS47312005123428,domestic
IKIL80394366960613,rural domestic
IKKX42306628256796,domestic
IKQV53943398494741,rural domestic
IKZH08078230683532,domestic
IMAL39807907847336,domestic
IMBX02784904646581,domestic
IMSD90472758795580,rural domestic
IMXD19478115201071,domestic
INJM43003695626381,domestic
IORP35333790633319,domestic
IPFY48061710454917,domestic
IPNN91337302843369,rural domestic
IPYR96103292001566,domestic
IQRJ62390741820460,rural domestic
IRAK31318398481889,domestic
IRIJ36329823192368,domestic
IRIZ73751187187041,domestic
IRKX94873993091121,domestic
IRLT21328707577289,rural domestic
IRVK20928971168293,domestic
ISCN42457683529593,rural domestic
ISMJ89667303931318,rural domestic
ISML84416059599137,rural domestic
ISMU51820791960983,rural domestic
ITPJ16307087915606,domestic
IURT10345085966491,domestic
IVQI00998549487735,rural domestic
IVXM36178913942788,domestic
IWEH87438980209767,rural domestic
IWGB84751333068305,rural domestic
IWUI42190103436952,domestic
IXJR76916127710003,rural domestic
IYDW48902790715966,rural domestic
IYPF09448390075115,domestic
IZTR60786769146207,domestic
IZYS85385408615586,rural domestic
JACG89092716311261,domestic
JAGI00680308242665,domestic
JALK66695433172997,domestic
JAVE38379605685946,domestic
JBLC19559725879146,domestic
JBNS92820239995139,domestic
JBSA75798447488009,domestic
JCCH45150255813989,domestic
JCEQ67516768365537,rural domestic
JCRG87290777008626,domestic
JDFB91441873190771,domestic
JDVW57666669484928,domestic
JDXC47202601105559,rural domestic
JEDB74748652800427,domestic
JEHF77761793229552,domestic
JEHM42141389901552,rural domestic
JEQZ49578298451825,domestic
JEXA27655683000359,rural domestic
JFGW77578540285249,domestic
JFTK47151672660141,rural domestic
JFUO85980686170984,domestic
JGIS90314487760937,rural domestic
JJNV76649261260584,rural domestic
JLHV79651458192472,domestic
JLLD73537868324372,domestic
JLNG91128726071885,domestic
JLRE91885534376166,domestic
JLSS76282075476289,domestic
JMIK16190440646105,rural domestic
JOYA50863052129016,domestic
JPEL95207741089870,rural domestic
JQMS14032982338772,domestic
JRKN33134394240542,domestic
JTES98822694645015,domestic
JUGV58574305141320,domestic
JUUP87886730333512,domestic
JUWY99006171678327,rural domestic
JVPK84395202150482,domestic
JVSD35383450450599,domestic
JVYI66208715585159,domestic
JWDW06944319462369,domestic
JWWW46838127788499,domestic
JYBT89780750132404,domestic
JZAU79506681108500,domestic
JZHT47212974660333,domestic
KACC90728987099547,domestic
KACE59603768772805,domestic
KBVR83023619560693,domestic
KCCF51637479946190,rural domestic
KCDC39361092351878,rural domestic
KCOV26380439146042,rural domestic
KCTG02392451158535,domestic
KCVO76738127528093,domestic
KCVX05985749631227,rural domestic
KCWE07038330915205,domestic
KCXW91343862250032,domestic
KCYR93666497577351,domestic
KDGB81898028808342,domestic
KDKC04967573121677,domestic
KDLN92170147407592,rural domestic
KDWM72343625346724,domestic
KEBS66095314696398,domestic
KEHM70898271340968,rural domestic
KESH04704133476485,domestic
KFTH56445017523112,rural domestic
KFVU17865246514517,domestic
KGHC90333400971680,domestic
KHAP61832304000229,domestic
KHOY77066062304321,domestic
KHPX58773088604023,domestic
KIVC82184180643031,domestic
KKBH26466272469118,domestic
KKDZ01541001764588,rural domestic
KKQR44740134407634,domestic
KLFR15936867327446,domestic
KLKA70480534577211,rural domestic
KMJN97150743354414,domestic
KMXV45565243986950,domestic
KNFG52989622599905,domestic
KNGA05862096443053,rural domestic
KNLV72706030788618,domestic
KNLX63963492585356,rural domestic
KNOB43264859830449,domestic
KNTA13295301205579,domestic
KOCS31815362992210,domestic
KOEW03409060902902,domestic
KOQB86035409759710,rural domestic
KOVO60968890213540,domestic
KPOA19937532089126,domestic
KQAF05774103443738,domestic
KQBT00210056935657,domestic
KQJI13687563859989,domestic
KQPZ85567521189435,domestic
KQTK96635773293518,domestic
KQUH02536348934506,rural domestic
KRFM91163614542152,rural domestic
KRGF06871614680408,domestic
KRJY46207648163530,rural domestic
KRUH35399694416065,domestic
KSBL23156232494473,domestic
KSIN68241925382480,rural domestic
KSPG57028139536375,domestic
KTNE42908160719315,domestic
KUXS54925465360668,rural domestic
KVAN73479116099584,domestic
KVFF52616624660275,domestic
KVMP01415816698836,domestic
KWHG46887949950720,rural domestic
KWHO17423192577736,domestic
KWTV31652525874264,rural domestic
KXHE28709548532082,domestic
KXID04951917048871,domestic
KXMJ57353158335386,domestic
KXOW93577691055881,rural domestic
KYAX96959007502350,rural domestic
KYIN64721824511108,domestic
KYSR66911947285303,domestic
KYVV27162926009894,domestic
KYWH85473807147201,domestic
KZDL18402710230568,domestic
KZHD37636184625234,domestic
KZOF50194442398338,domestic
LANO13263677219830,domestic
LBPM65427260773508,rural domestic
LBRV63557804809862,domestic
LBSU30249299517483,domestic
LCFD28318669747029,domestic
LCNG39047965581281,rural domestic
LDMD92087733634090,rural domestic
LDVG07028476247747,domestic
LDWP74408638280459,domestic
LFRL48529839891060,rural domestic
LHEI47595523159786,domestic
LHNJ20527858773379,domestic
LHZL66158083144343,rural domestic
LICM34042923012315,domestic
LINA83591993285866,rural domestic
LIZZ61547489473894,domestic
LJAS78680265108851,rural domestic
LKDP04288586577290,domestic
LKZC42771408481183,rural domestic
LLIC24181538486678,domestic
LMWB96309605671196,domestic
LMWG30961964913213,rural domestic
LNGR24112473640652,domestic
LNOA08758801993381,domestic
LODE39737293465198,domestic
LOPV39030970185767,domestic
LPCM81902041292207,domestic
LPGY43983499457411,domestic
LQOZ77619704271399,rural domestic
LRAL82633550507688,domestic
LRFN70996825114125,rural domestic
LRKP46581496166267,rural domestic
LRNJ93781110353744,rural domestic
LRXD56118044550086,domestic
LSMU23270966289224,domestic
LTUX29812003401409,rural domestic
LTYA70001390203463,domestic
LTZT68751994348222,rural domestic
LUGD74277212802064,domestic
LULY66163754611118,domestic
LUUF54021253030299,domestic
LUXR65263864699877,rural domestic
LWIS94074017000181,rural domestic
LWMG15631379083436,domestic
LXCF40984130491410,domestic
LYCM06827373499892,domestic
LYHK83880786555886,domestic
LYWH29231732216402,rural domestic
LZGZ13521950223710,rural domestic
LZPC78956833960724,domestic
MAAA15791695553132,rural domestic
MAHJ68612400545959,rural domestic
MBFO36071980172730,domestic
MBTU11341178834465,domestic
MBUV59347024932724,domestic
MCDE25052533042264,domestic
MCDR08025594826003,domestic
MCOS16773483327670,rural domestic
MCRK94951892827666,rural domestic
MCUA36598386618228,domestic
MDIV98513972121149,rural domestic
MDMT21624203479893,domestic
MDYX58057593664405,rural domestic
MEEP39447833313343,domestic
MENM22339622143869,domestic
MFCB19009650543485,domestic
MFDJ07858304464337,domestic
MFKS41426194554322,domestic
MFWK72169875645464,rural domestic
MGKQ88279635548788,domestic
MGPB93381021816204,domestic
MGUE22291420733853,domestic
MGYP11861755139081,domestic
MHGK34685058134666,domestic
MHKI28456945098761,domestic
MHRS74376625050105,domestic
MHTQ56769105256920,domestic
MIDT99995692797081,domestic
MIKW16160644995846,domestic
MJDD05343382316167,domestic
MKAR32724631454372,rural domestic
MKEV88575336724138,rural domestic
MKGQ63689121272524,domestic
MKQJ32086582668331,domestic
MKUY02496816394391,rural domestic
MKWR44069902789814,rural domestic
MMEM99949227703863,rural domestic
MOFX51067036185589,domestic
MPCW82113034367176,domestic
MPPA13080115709916,domestic
MQAU80338543642395,rural domestic
MRDJ91375157591671,domestic
MRNS15117496271188,domestic
MRSN78309732262866,domestic
MSEP68991962276810,rural domestic
MSLL35427830475073,domestic
MSVV70180556082182,domestic
MTGY08943274084340,rural domestic
MTNR48961300802982,domestic
MTRV81612291903747,rural domestic
MTTO08254040481312,domestic
MUFY87746713661576,domestic
MUKI36490339039618,domestic
MUQX03814572106575,rural domestic
MUXI31513655871298,rural domestic
MUXX08286207117113,domestic
MUYB17619317125820,domestic
MVMI60530854866418,domestic
MVPW72876115421844,domestic
MVVV72328198794632,domestic
MWCB79508872286620,domestic
MWJK09246253141412,domestic
MXGZ55911612091735,domestic
MXIL85250538888081,domestic
MXLV22697715862048,rural domestic
MXXH44163432014385,domestic
MYBV85410698673593,rural domestic
MYDE12365961694179,rural domestic
MYHX91701409934035,domestic
MYWJ48428464556631,domestic
MZRW40556373618882,rural domestic
NALN72893435915752,domestic
NBNZ15533171406707,domestic
NBOQ25381923600807,rural domestic
NBQN43033153874355,domestic
NCKC04414923937459,domestic
NCLN82374263487051,rural domestic
NCPT27863288207127,rural domestic
NCTB52281913419616,rural domestic
NCWN39520108373748,rural domestic
NCZQ43613482138619,domestic
NDFS84069941627676,domestic
NDUY70812972355130,domestic
NDZS40886786476343,rural domestic
NFDB66249736338279,domestic
NFHN96035431430656,domestic
NFMC42616650055728,domestic
NFPI08782385162236,rural domestic
NFWJ02671969576899,domestic
NFWS34647053111572,rural domestic
NGXL37418609394497,domestic
NHAZ12499211739213,domestic
NHFT84916099108261,domestic
NHIF71576672250915,domestic
NHOJ73471140251168,rural domestic
NHQV85417079883431,rural domestic
NIJU69030181947422,domestic
NJKG79591092232566,domestic
NKBN99786120470296,rural domestic
NLZT35421722867668,domestic
NMGC62247459505933,domestic
NMQF12417128217624,domestic
NNKF92704765416624,domestic
NNMM85663842324527,domestic
NNXB59742887693596,rural domestic
NPQZ40288669056008,domestic
NPVN88632045725668,rural domestic
NQEM07008323231527,domestic
NQNC82525044139361,domestic
NQPP59417611214297,domestic
NREQ80614709086421,domestic
NRXW11536214118449,domestic
NSCR91333036898867,domestic
NSIH63292007232067,rural domestic
NSPB15070471549020,rural domestic
NTCF56349417942748,rural domestic
NTFW74717315660097,domestic
NTKM17051501449750,domestic
NTMT09595415161699,domestic
NUAG52417152766281,domestic
NVBI93643262244292,rural domestic
NVMA56908319529535,domestic
NVTG46396654132604,domestic
NVYM66645427101549,domestic
NWIB73431412260794,rural domestic
NWUV43820603419412,domestic
NXUD85952531492656,domestic
NXZD44191442184381,domestic
NYCR15027250729265,domestic
NYIX11692687567276,domestic
NYRR58688177084605,domestic
NZHC31334698678050,rural domestic
NZLM45327451935366,domestic
NZQF59857433519644,domestic
OAEJ28145705092822,rural domestic
OATB34934642036088,domestic
OAUU10613425383836,rural domestic
OAVE41444918566319,domestic
OAXC79350370782395,domestic
OBAM54117881686543,rural domestic
OBVW13876003681670,rural domestic
OCBA69933533168272,domestic
OCHH03711886009267,domestic
OCHN81676114949127,domestic
OCPP59797470609261,domestic
OCXT37710822366092,domestic
ODLE12368779092833,domestic
OEUA01021948001923,domestic
OFLP22556502287909,domestic
OFSQ89007894885379,domestic
OFXE75175200670327,rural domestic
OGBF44324779029820,domestic
OGBY11277437919629,domestic
OGPI54730199630615,domestic
OGPL79574520442941,domestic
OGWD48697643044600,domestic
OGXA55985744605029,domestic
OHHZ66608118052068,domestic
OHRL57643449084928,rural domestic
OHZS98825252700819,rural domestic
OIPQ36957733326615,domestic
OIXB82916128833474,domestic
OJQU49241457024673,rural domestic
OJSO43350956513104,rural domestic
OJYM39138033521750,rural domestic
OKBA54671218645559,domestic
OLNC32253758299513,domestic
OMBV09816156691534,domestic
OMKX11675230925584,rural domestic
OMSP43024554606602,domestic
OMZN91791599460008,domestic
ONIH13255986123538,domestic
ONPO94453603165231,domestic
ONVP96713318517719,rural domestic
OOIR34820693333171,rural domestic
OOQQ71369334728717,domestic
OPEX78783877495252,domestic
OPRG06975490466843,domestic
OPTC32128158291450,rural domestic
OPTQ83616825065544,rural domestic
OPWS81181980904324,domestic
OQKD79487300964128,domestic
OQOO65912467313352,rural domestic
OQUQ99698293067142,domestic
ORAB10129435863250,domestic
ORYE31092335903071,domestic
OSPL55832867440264,domestic
OSSQ06652895870432,rural domestic
OSVR86992213224426,rural domestic
OTDF66089688205250,domestic
